x,y,type,title,uid,aid,did,player,population,alliance,tribe
-200,-200,village,Village noluyoOlum Köyü,26234,,71653,noluyoOlum,10,Tribe Romans,Romans
-200,-199,unoccupied,Unoccupied 3-4-5-6,,,,,,,
-200,-198,oasis,Forest,,,,,,,
-200,-197,oasis,Clay,,,,,,,
-200,-196,oasis,Clay,,,,,,,
-200,-194,oasis,Forest,,,,,,,
-200,-193,unoccupied,Unoccupied 1-1-1-15,,,,,,,
-200,-192,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-191,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-190,unoccupied,Unoccupied 4-4-4-6,,,,,,,
-200,-189,unoccupied,Unoccupied 1-1-1-15,,,,,,,
-200,-188,unoccupied,Unoccupied 3-4-4-7,,,,,,,
-200,-187,village,Village balanise`s village,26162,,71584,balanise,74,Tribe Gauls,Gauls
-200,-186,unoccupied,Unoccupied 3-4-4-7,,,,,,,
-200,-184,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-183,village,Village Sztibi faluja,26115,,71530,Sztibi,15,Tribe Gauls,Gauls
-200,-182,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-181,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-180,unoccupied,Unoccupied 4-4-4-6,,,,,,,
-200,-179,unoccupied,Unoccupied 3-4-4-7,,,,,,,
-200,-178,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-177,village,Village Calmac`s village,26049,,71454,Calmac,18,Tribe Gauls,Gauls
-200,-176,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-174,oasis,Forest,,,,,,,
-200,-173,unoccupied,Unoccupied 4-4-3-7,,,,,,,
-200,-172,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-171,oasis,Lake,,,,,,,
-200,-170,oasis,Lake,,,,,,,
-200,-169,oasis,Lake,,,,,,,
-200,-168,village,Village Osada: Wojtas35,25877,,71233,Wojtas35,12,Tribe Romans,Romans
-200,-167,oasis,Forest,,,,,,,
-200,-166,unoccupied,Unoccupied 1-1-1-15,,,,,,,
-200,-164,oasis,Clay,,,,,,,
-200,-163,oasis,Clay,,,,,,,
-200,-162,oasis,Forest,,,,,,,
-200,-161,other,{k.fo},,,-1,,,,
-200,-160,oasis,Clay,,,,,,,
-200,-159,other,{k.fo},,,-1,,,,
-200,-158,unoccupied,Unoccupied 4-3-4-7,,,,,,,
-200,-157,unoccupied,Unoccupied 3-4-5-6,,,,,,,
-200,-156,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-154,other,{k.fo},,,-1,,,,
-200,-153,village,Village Aldeia do doombest,25525,450,70827,doombest,415,W F U,Gauls
-200,-152,unoccupied,Unoccupied 4-4-3-7,,,,,,,
-200,-151,village,Village Dania/sostinė,25486,,70780,Dania,10,Tribe Gauls,Gauls
-200,-150,oasis,Forest,,,,,,,
-200,-149,oasis,Forest,,,,,,,
-200,-148,unoccupied,Unoccupied 3-4-5-6,,,,,,,
-200,-147,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-146,oasis,Forest,,,,,,,
-200,-144,unoccupied,Unoccupied 3-4-4-7,,,,,,,
-200,-143,unoccupied,Unoccupied 4-4-4-6,,,,,,,
-200,-142,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-141,unoccupied,Unoccupied 4-4-3-7,,,,,,,
-200,-140,unoccupied,Unoccupied 4-5-3-6,,,,,,,
-200,-139,unoccupied,Unoccupied 3-3-3-9,,,,,,,
-200,-138,village,{k.bt},1857,160,-1,Orcos Alliance P.A. Tribe Teutons,,P.A.,Teutons
-200,-137,unoccupied,Unoccupied 4-5-3-6,,,,,,,
-200,-136,unoccupied,Unoccupied 1-1-1-15,,,,,,,
-200,-134,unoccupied,Unoccupied 3-4-4-7,,,,,,,
-200,-133,village,Village ayzek Köyü,24848,,70004,ayzek,13,Tribe Gauls,Gauls
-200,-132,unoccupied,Unoccupied 1-1-1-15,,,,,,,
-200,-131,unoccupied,Unoccupied 3-4-4-7,,,,,,,
-200,-130,village,Village Village de Gauloimouth,24789,,69932,Gauloimouth,14,Tribe Gauls,Gauls
-200,-129,unoccupied,Unoccupied 4-4-3-7,,,,,,,
-200,-128,unoccupied,Unoccupied 3-4-5-6,,,,,,,
