x,y,title,player,population,alliance,tribe,uid,aid,did
33,111,Village 01 Spawn,NinjaTurtle,932,HZR,Gauls,6588,1,46346
-20,-166,Village Powerslave,Molok,923,PA,Gauls,204,43,57611
-4,-86,Village Only for the Weak,Molok,907,PA,Gauls,204,43,34297
-8,93,Village 1 TSAMPIKA,MIKE.LIA,842,W!LDS,Gauls,2645,39,38676
22,-163,Village Azurea,ClownHeishi,835,PA,Gauls,13555,43,55960
-66,-70,Village Hope,Treasurehunter,832,AO,Gauls,259,84,40606
-52,-34,Village B00 Oasis Striker,powerclub,805,AO,Teutons,590,84,24038
31,-180,Village 02,Emperor Penguin,800,PA,Romans,995,43,59117
-67,-34,Village 01,Macek51,792,czsk,Gauls,1779,49,30114
28,-92,Village 00 K&D,K&D,791,P.A.,Gauls,3829,160,40408
32,-20,Village 01 Dominik Decoco,Pingu Satisfyer,786,P.A,Gauls,316,61,18765
-55,194,Village 3. Minus Iron,hobo,772,W!LDS,Romans,905,39,69487
34,-64,Village 01-PinguBro,Pingu Jon,766,PA,Gauls,35,43,27759
-26,34,Village TSH,Tshombe,763,SSQ,Gauls,312,14,18503
-185,-128,Village 03,Emperor Penguin,758,PA,Romans,995,43,70151
-133,-123,Village 2.1,xXx,752,AO,Gauls,1741,84,62071
-179,-104,Village 03 Xabo y checho,PinguGoat,750,P.A.,Teutons,57,160,70554
-32,-33,Village 1,TR_Newback,750,TR,Teutons,660,28,18492
-17,122,Village La Madriguera,Alfredo3030,749,W!LDS,Teutons,7473,39,48073
-148,-78,Village 3,Zeus,744,AO,Romans,3413,84,71934
-60,-87,Village 01.BLUE,FILOF,744,AO,Romans,448,84,44094
15,-78,Village 00,Schindler,743,P.A,Gauls,2916,61,32070
-120,41,Village Discovery Begins,Dersu Uzala,742,W!LDS,Gauls,3105,39,48722
-123,82,Village 2 MIKE,MIKE.LIA,741,W!LDS,Gauls,2645,39,69968
-64,54,Village 1.Chlo19,Gwenoul,738,DEUS,Gauls,3435,50,34780
-71,-151,Village 01,Nsfuler,737,czsk,Gauls,14162,49,56762
18,-159,Village FOX,Dante,737,PA,Teutons,12873,43,55179
-149,149,Village Not the spawn,HubbaBubba,735,W!LDS,Gauls,22101,39,66634
-89,7,Village ⚔00⚔,ForR0,735,W!LDS,Teutons,1761,39,36205
-57,8,Village 01 TKAPC,TKAPC,735,NKF,Gauls,1397,65,22708
17,-74,Village xd,Pompinchu,734,Tribe Gauls,Gauls,2723,,30892
-182,-131,Village 03,TriTrasTres,732,P.A.,Romans,788,160,70666
-29,107,Village 01 Beograd,Napoleon84,729,KB-1,Teutons,6024,172,45288
-42,76,Village Spins Shelf,Spingus,727,SSQ3,Gauls,3523,282,35272
